# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.05
# Normalized cumlative spectral function for the O3 operator
# omega, R_3(omega)

1.139872266616052607e-02 2.701910485201394763e-01
1.096816005273137939e-02 2.610707877248831799e-01
1.055386103036524102e-02 2.488359402064688752e-01
1.015521127634568151e-02 2.352544894882822868e-01
9.771619672696182229e-03 2.241034763512080308e-01
9.402517429670131932e-03 2.120780550434628042e-01
9.047357242349302747e-03 2.015424598968890146e-01
8.705612479099865408e-03 1.879777542509164234e-01
8.376776400682925047e-03 1.795714023056820541e-01
8.060361408861346083e-03 1.710588523002263550e-01
7.755898323389008933e-03 1.642970350893935838e-01
7.462935686310137595e-03 1.543456882946828701e-01
7.181039092537355555e-03 1.457981241858611332e-01
6.909790545715645271e-03 1.388087083945502009e-01
6.648787838417269391e-03 1.311908126860719948e-01
6.397643955748430651e-03 1.258684011819267978e-01
6.155986501483514013e-03 1.206677139780931302e-01
5.923457145875806254e-03 1.161860569124498060e-01
5.699711094326075263e-03 1.104890918647076226e-01
5.484416576121020452e-03 1.048191951394955856e-01
5.277254352483537470e-03 1.018337561737946984e-01
5.077917243205404101e-03 9.735829726711495158e-02
4.886109671160326559e-03 9.378128176742824007e-02
4.701547224022134541e-03 8.753071513310441143e-02
4.523956232538053034e-03 8.261045154540008761e-02
4.353073364731892096e-03 7.956155016090921128e-02
4.188645235435271494e-03 7.620172198243514716e-02
4.030428030568054994e-03 7.301799511643300433e-02
3.878187145610723519e-03 7.065438420503031280e-02
3.731696837732756053e-03 6.814382698913304393e-02
3.590739891061055147e-03 6.568462364514701668e-02
3.455107294592221507e-03 6.234538235670337297e-02
3.324597932270941750e-03 5.979013948900234465e-02
3.199018284775066896e-03 5.821386412957330753e-02
3.078182142565080021e-03 5.700193642000853794e-02
2.961910329772556374e-03 5.405990319897190782e-02
2.850030438518108469e-03 5.217078710216016546e-02
2.742376573264952364e-03 5.002227016698929107e-02
2.638789104828934487e-03 4.787874080171967972e-02
2.539114433680347144e-03 4.661570278269325240e-02
2.443204762186489305e-03 4.501893850433588001e-02
2.350917875457286636e-03 4.371353792370098051e-02
2.262116930469026694e-03 4.234491269987761264e-02
2.176670253153459040e-03 4.099866851028307474e-02
2.094451143151470924e-03 3.944024639495019580e-02
2.015337685941733393e-03 3.604992570933795992e-02
1.939212572065830958e-03 3.467996159514678822e-02
1.865962923181745982e-03 3.350771169908531993e-02
1.795480124687832231e-03 3.151693999513431599e-02
1.727659664669036485e-03 3.057327371760535858e-02
1.662400978926613674e-03 2.944923245996081129e-02
1.599607301861487915e-03 2.835497158803095344e-02
1.539185522990207120e-03 2.724892944364932026e-02
1.481046048880675517e-03 2.625114338084462776e-02
1.425102670302999227e-03 2.569211578787639408e-02
1.371272434398400917e-03 2.491805619699958424e-02
1.319475521676707333e-03 2.395725039030124209e-02
1.269635127659974033e-03 2.314662275502266109e-02
1.221677348996793059e-03 2.255504913333187395e-02
1.175531073878369843e-03 2.184983920189285597e-02
1.131127876593921366e-03 2.105853190865315111e-02
1.088401916069006584e-03 2.066959964603739056e-02
1.047289838236358439e-03 1.986299136997022458e-02
1.007730682094461726e-03 1.957845994248177263e-02
9.696657893145520669e-04 1.868350048814173409e-02
9.330387172620359729e-04 1.829691233479366005e-02
8.977951553033331877e-04 1.749187607760076257e-02
8.638828442740453762e-04 1.710108173901657425e-02
8.312514989890631501e-04 1.668866916649341947e-02
7.998527336796707127e-04 1.591858575503294834e-02
7.696399902471166409e-04 1.531927503676861445e-02
7.405684692262441650e-04 1.504686552801869776e-02
7.125950633568410445e-04 1.458948592230050259e-02
6.856782936641738196e-04 1.347897624966722975e-02
6.597782479539546479e-04 1.320325162675744894e-02
6.348565216305223540e-04 1.232025030222081048e-02
6.108761607505039425e-04 1.227182875331632970e-02
5.878016072274911547e-04 1.202623315509994233e-02
5.655986461065013642e-04 1.084936222372791421e-02
5.442343548300272249e-04 1.014521328302931541e-02
5.236770544204654831e-04 9.975480236209250187e-03
5.038962625065149942e-04 9.568074894271296968e-03
4.848626481239078079e-04 9.391661621081726780e-03
4.665479882234477250e-04 9.009406974500077173e-03
4.489251258218607721e-04 8.712254133649540225e-03
4.319679297334173764e-04 8.103747456124745299e-03
4.156512558225987906e-04 7.832101690965036223e-03
3.999509097203669534e-04 7.484476302472797132e-03
3.848436109487432576e-04 7.364254278417584759e-03
3.703069584005141035e-04 7.012840225251001230e-03
3.563193971228584300e-04 6.946140264655734781e-03
3.428601863556590473e-04 6.848056979885499933e-03
3.299093687770942316e-04 6.761128702834905656e-03
3.174477409109193664e-04 6.626093731747487690e-03
3.054568246515431892e-04 6.463456284970334892e-03
2.939188398646890260e-04 6.409392766879173746e-03
2.828166780230034890e-04 6.035120815486130601e-03
2.721338768375308921e-04 5.816592271017579675e-03
2.618545958474232716e-04 5.486233486618210219e-03
2.519635929317018516e-04 4.994537611777042502e-03
2.424462017082330725e-04 4.869991090213673934e-03
2.332883097864158189e-04 4.490465810329050296e-03
2.244763378413223921e-04 4.460551043235764027e-03
2.159972194782717103e-04 4.347352408876020355e-03
2.078383818579759422e-04 4.231203765502331883e-03
1.999877270535287046e-04 4.107528322236136259e-03
1.924336141115980190e-04 4.071286864419511146e-03
1.851648417912154056e-04 3.923118334172122010e-03
1.781706319545732628e-04 3.499170825446942801e-03
1.714406135851972166e-04 3.478736144667119497e-03
1.649648074098020503e-04 3.304201911618539003e-03
1.587336111010208468e-04 3.192831183878756980e-03
1.527377850390715483e-04 3.007106660724653650e-03
1.469684386112447426e-04 2.993548288042778820e-03
1.414170170289023951e-04 2.976806327161153447e-03
1.360752886424333198e-04 2.966661647861286964e-03
1.309353327353612287e-04 2.878436420275193395e-03
1.259895277795028434e-04 2.874972387604702185e-03
1.212305401337652864e-04 2.766046084592245404e-03
1.166513131698196175e-04 2.516868253297940144e-03
1.122450568085308140e-04 2.393798254182411597e-03
1.080052374516253993e-04 2.332245526108325893e-03
1.039255682936713091e-04 2.196981085882829688e-03
1.000000000000000048e-04 2.136903745841014276e-03
1.000000000000000082e-05 2.442566703093460479e-04
9.999999999999999547e-07 1.844486186149455526e-07
9.999999999999999547e-08 1.844486186149455526e-07
1.000000000000000021e-08 1.590504605307982314e-19
