# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.20
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g^2
# omega/g^2, R_1(omega)

7.695455356412699011e-02 4.835102163697359984e-02
7.404775824431389375e-02 4.669500829121069757e-02
7.125076096295270001e-02 4.476370771741149807e-02
6.855941433162379695e-02 4.326805711292180251e-02
6.596972762072335350e-02 4.182358303825269713e-02
6.347786084200866819e-02 4.032598376765200027e-02
6.108011905466222136e-02 3.883872368967149907e-02
5.877294688643215637e-02 3.751704144726689810e-02
5.655292326172565304e-02 3.624111491097330162e-02
5.441675632883646863e-02 3.462454067638069677e-02
5.236127857878676573e-02 3.335997929894030101e-02
5.038344214854332398e-02 3.215457327360900230e-02
4.848031430164576744e-02 3.073177776193479829e-02
4.664907307954364174e-02 2.945314149060870162e-02
4.488700311719579644e-02 2.837168843640739888e-02
4.319149161672590498e-02 2.724415397042380046e-02
4.156002447316533427e-02 2.609136655061010043e-02
3.999018254653718962e-02 2.500415106991039915e-02
3.847963807475517084e-02 2.397837712294929868e-02
3.702615122201687731e-02 2.322726989971269848e-02
3.562756675757497438e-02 2.207369060690700033e-02
3.428181085996001576e-02 2.135604327284600090e-02
3.298688804191767660e-02 2.044344594856420047e-02
3.174087819149934431e-02 1.951599569218150088e-02
3.054193372491981889e-02 1.894466059738919919e-02
2.938827684695924022e-02 1.795818008288569897e-02
2.827819691484802916e-02 1.739933870696560095e-02
2.721004790172516091e-02 1.694996820842540122e-02
2.618224595590895598e-02 1.633206215581919918e-02
2.519326705236153707e-02 1.560383375253210012e-02
2.424164473286379712e-02 1.522566798434800070e-02
2.332596793155089498e-02 1.462372361884710023e-02
2.244487888258332384e-02 1.360388543525480054e-02
2.159707110685113104e-02 1.311656721635089985e-02
2.078128747472657301e-02 1.249468409208280041e-02
1.999631834199176381e-02 1.192040287786400032e-02
1.924099975617791364e-02 1.146536440720350054e-02
1.851421173065610076e-02 1.108179306986089956e-02
1.781487658392102297e-02 1.063698184133149947e-02
1.714195734160434137e-02 1.021543850677109934e-02
1.649445619884886208e-02 9.827396115943800095e-03
1.587141304076305701e-02 9.355280289995399762e-03
1.527190401876259498e-02 8.912386773102399379e-03
1.469504018068727540e-02 8.563260767944199173e-03
1.413996615266253053e-02 8.406497357113700344e-03
1.360585887075067835e-02 8.090360774909099995e-03
1.309192636051163469e-02 7.974544603031699305e-03
1.259740656266287312e-02 7.618493677215200204e-03
1.212156620309769346e-02 7.312746159999199830e-03
1.166369970558619150e-02 7.041478241428000308e-03
1.122312814554651643e-02 6.811975075109899698e-03
1.079919824333543284e-02 6.527931752409599740e-03
1.039128139556496841e-02 6.147033315281399610e-03
9.998772743009171071e-03 5.928037235159699589e-03
9.621090273718579597e-03 5.751663897730599669e-03
9.257673960012851450e-03 5.564815817693799689e-03
8.907984928071458960e-03 5.463594075001200132e-03
8.571504658891474990e-03 5.321511754304100207e-03
8.247734219427354380e-03 5.027931428881400253e-03
7.936193522772982262e-03 4.957555841234399623e-03
7.636420616288577996e-03 4.726317698303100084e-03
7.347970996617224186e-03 4.410653438603300003e-03
7.070416950575086033e-03 4.301499513870200159e-03
6.803346920938271002e-03 4.033456605441100400e-03
6.546364896185580436e-03 3.878096698602799888e-03
6.299089823292545152e-03 3.795693466935300044e-03
6.061155042705825349e-03 3.483485822580100096e-03
5.832207744660393954e-03 3.375796699769199969e-03
5.611908446033059099e-03 3.236373207084100156e-03
5.399930486956791564e-03 3.138456347767500099e-03
5.195959546449397878e-03 2.996588218501800103e-03
4.999693176338216964e-03 2.959620813828900149e-03
4.810840352789949419e-03 2.873521100391299848e-03
4.629121044780384192e-03 2.782326496084900052e-03
4.454265798864330377e-03 2.738172415836299944e-03
4.286015339629929873e-03 2.652993094171099929e-03
4.124120185245050418e-03 2.536482930951300049e-03
3.968340277525520682e-03 2.400531780362400152e-03
3.818444625976788031e-03 2.328240316690299936e-03
3.674210965281117861e-03 2.211709400256999924e-03
3.535425425722559228e-03 2.147877399993100133e-03
3.401882216060832156e-03 2.136284120467099850e-03
3.273383318384030013e-03 2.039648771324099885e-03
3.149738194487570597e-03 1.918698792145999985e-03
3.030763503344131686e-03 1.767407050248800049e-03
2.916282829245490059e-03 1.708136476277999968e-03
2.806126420213269929e-03 1.665300448790300045e-03
2.700130936290634671e-03 1.626381008217299981e-03
2.598139207341782376e-03 1.591312115813100104e-03
2.499999999999999618e-03 1.517240526078900056e-03
2.499999999999999510e-04 2.814427449640000134e-04
2.499999999999999442e-05 5.110760380433421282e-05
2.499999999999999357e-06 1.525878906249919362e-05
