# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.05
# Normalized cumlative spectral function for the O3 operator, with frequency scaled by g^2
# omega/g^2, R_3(omega)

6.396858800421472147e-01 1.269053335170740315e-01
6.155231003736563178e-01 1.214427735401613501e-01
5.922730185456585028e-01 1.165601659693931286e-01
5.699011593297448330e-01 1.124161685553028978e-01
5.483743497262649758e-01 1.078565559548424757e-01
5.276606697753885022e-01 1.033266530947391376e-01
5.077294052261841495e-01 9.914054927407271733e-02
4.885510019935132564e-01 9.563971101898351146e-02
4.700970223352290422e-01 9.207148610083126794e-02
4.523401026846790018e-01 8.883510212966810871e-02
4.352539130760042507e-01 8.535466342538258755e-02
4.188131181020537386e-01 8.232658369349453442e-02
4.029933393470395697e-01 7.864191429900890817e-02
3.877711192382101157e-01 7.562332549663615400e-02
3.731238862629575603e-01 7.229143095487641779e-02
3.590299214997695887e-01 6.956953370038312934e-02
3.454683264134079668e-01 6.713492378643343139e-02
3.324189918665530485e-01 6.474570335994767056e-02
3.198625683019682975e-01 6.213017443881427987e-02
3.077804370509726328e-01 5.917603004503075442e-02
2.961546827256708037e-01 5.689227651503798305e-02
2.849680666540130858e-01 5.509842065759988639e-02
2.742040013182844294e-01 5.327071829834183203e-02
2.638465257591309787e-01 5.120530020776736108e-02
2.538802819086419804e-01 4.936030391268887707e-02
2.442904918174045037e-01 4.723209257492698432e-02
2.350629357417532428e-01 4.502319324186768168e-02
2.261839310587325236e-01 4.332905492000744402e-02
2.176403119774965866e-01 4.174908148155132698e-02
2.094194100170730932e-01 4.008912194974911108e-02
2.015090352215336000e-01 3.866224165442914279e-02
1.938974580847251938e-01 3.736671027840313131e-02
1.865733921577533982e-01 3.590286946184994415e-02
1.795259773134338654e-01 3.431297101745451467e-02
1.727447636428910971e-01 3.295638657802329313e-02
1.662196959604317070e-01 3.209363040805416484e-02
1.599410988937107481e-01 3.094764697393589600e-02
1.538996625370878113e-01 2.940075201087965356e-02
1.480864286468951407e-01 2.860295668719180576e-02
1.424927773581518564e-01 2.758645480374148640e-02
1.371104144030254879e-01 2.663625272601484115e-02
1.319313588120884229e-01 2.566034708275587509e-02
1.269479310801350791e-01 2.460247492813078668e-02
1.221527417790081449e-01 2.351571763970422904e-02
1.175386806005533358e-01 2.239602626633513394e-02
1.130989058134513059e-01 2.166887535023928960e-02
1.088268341182972859e-01 2.099708131887010817e-02
1.047161308858817613e-01 2.002132905486546724e-02
1.007607007642013497e-01 1.932799489670972495e-02
9.695467864026806326e-02 1.859387218249490895e-02
9.329242094331888224e-02 1.778281984373097924e-02
8.976849727652636002e-02 1.717934495804212397e-02
8.637768236480551642e-02 1.666998915061934997e-02
8.311494830677353118e-02 1.633153109306806350e-02
7.997545711937666113e-02 1.568710236743656519e-02
7.695455356412699011e-02 1.438571399349738295e-02
7.404775824431389375e-02 1.383796091423451606e-02
7.125076096295270001e-02 1.335410322645554787e-02
6.855941433162379695e-02 1.290685525487247388e-02
6.596972762072335350e-02 1.250743062852573487e-02
6.347786084200866819e-02 1.198341880932088377e-02
6.108011905466222136e-02 1.129875147373470175e-02
5.877294688643215637e-02 1.083405778175449384e-02
5.655292326172565304e-02 1.040679896937692951e-02
5.441675632883646863e-02 1.006278575068021187e-02
5.236127857878676573e-02 9.596744027914048611e-03
5.038344214854332398e-02 9.138660445320840806e-03
4.848031430164576744e-02 8.731793184780086911e-03
4.664907307954364174e-02 8.365603392407557071e-03
4.488700311719579644e-02 8.155680485909757096e-03
4.319149161672590498e-02 7.864130808810560619e-03
4.156002447316533427e-02 7.580829102348008407e-03
3.999018254653718962e-02 7.106778303192635288e-03
3.847963807475517084e-02 6.896623676759638076e-03
3.702615122201687731e-02 6.699370061873809526e-03
3.562756675757497438e-02 6.316146039404952305e-03
3.428181085996001576e-02 6.181052614160955846e-03
3.298688804191767660e-02 5.908977770030430197e-03
3.174087819149934431e-02 5.237664721443833875e-03
3.054193372491981889e-02 5.091527067509687282e-03
2.938827684695924022e-02 4.872513144703680653e-03
2.827819691484802916e-02 4.704520964535542811e-03
2.721004790172516091e-02 4.543706999142238349e-03
2.618224595590895598e-02 4.401516199847406267e-03
2.519326705236153707e-02 4.181163066374104890e-03
2.424164473286379712e-02 4.032121428074523367e-03
2.332596793155089498e-02 3.879057170212360690e-03
2.244487888258332384e-02 3.714066597403288105e-03
2.159707110685113104e-02 3.553650556418109716e-03
2.078128747472657301e-02 3.445011354458042338e-03
1.999631834199176381e-02 3.267771959259364260e-03
1.924099975617791364e-02 3.130075997834796519e-03
1.851421173065610076e-02 3.010448331152877459e-03
1.781487658392102297e-02 2.947123424530288804e-03
1.714195734160434137e-02 2.859939161998598708e-03
1.649445619884886208e-02 2.776462424088928412e-03
1.587141304076305701e-02 2.634905076657399065e-03
1.527190401876259498e-02 2.571472488012785558e-03
1.469504018068727540e-02 2.505342838969722066e-03
1.413996615266253053e-02 2.426339410126759390e-03
1.360585887075067835e-02 2.314025258737219953e-03
1.309192636051163469e-02 2.208783772266348713e-03
1.259740656266287312e-02 2.148021219836898209e-03
1.212156620309769346e-02 2.059448322189723433e-03
1.166369970558619150e-02 2.033819469662193329e-03
1.122312814554651643e-02 1.897175569999343375e-03
1.079919824333543284e-02 1.864645945932745172e-03
1.039128139556496841e-02 1.813666314682225176e-03
9.998772743009171071e-03 1.761541922230225278e-03
9.621090273718579597e-03 1.710665614002889866e-03
9.257673960012851450e-03 1.688895735169998165e-03
8.907984928071458960e-03 1.613259683176215386e-03
8.571504658891474990e-03 1.550168960630076342e-03
8.247734219427354380e-03 1.510293215879545368e-03
7.936193522772982262e-03 1.438749626915515395e-03
7.636420616288577996e-03 1.399913488193401528e-03
7.347970996617224186e-03 1.324747017055410937e-03
7.070416950575086033e-03 1.307266872488123052e-03
6.803346920938271002e-03 1.285875800484707725e-03
6.546364896185580436e-03 1.256266559602644628e-03
6.299089823292545152e-03 1.103364435461173104e-03
6.061155042705825349e-03 1.053076634261225584e-03
5.832207744660393954e-03 1.030223360256803155e-03
5.611908446033059099e-03 9.179856191297589224e-04
5.399930486956791564e-03 8.771898667141012117e-04
5.195959546449397878e-03 8.332409297480131280e-04
4.999693176338216964e-03 8.245057467749632727e-04
4.810840352789949419e-03 8.160379665118111569e-04
4.629121044780384192e-03 7.754054227482103058e-04
4.454265798864330377e-03 6.144141863075508513e-04
4.286015339629929873e-03 5.853936066705344712e-04
4.124120185245050418e-03 5.736057943621517214e-04
3.968340277525520682e-03 5.545431606357684737e-04
3.818444625976788031e-03 5.242325458127722760e-04
3.674210965281117861e-03 4.969087292033189367e-04
3.535425425722559228e-03 4.774455094404185681e-04
3.401882216060832156e-03 4.546330156617115880e-04
3.273383318384030013e-03 4.458413996100882271e-04
3.149738194487570597e-03 4.222055545948727256e-04
3.030763503344131686e-03 4.165769465028350835e-04
2.916282829245490059e-03 3.882419252100619369e-04
2.806126420213269929e-03 3.509600515953324317e-04
2.700130936290634671e-03 3.447797253898023432e-04
2.598139207341782376e-03 3.140374524789281614e-04
2.499999999999999618e-03 3.111733450922784128e-04
2.499999999999999510e-04 1.820319888488956695e-05
2.499999999999999442e-05 4.966769339948265543e-07
2.499999999999999357e-06 6.694950163848566173e-22
2.499999999999999357e-07 6.694949870025154209e-22
