# XXZ chain with true anisotropy being Delta + g
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.05
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g
# omega/g, R_1(omega)

9.047912465076106414e-02 3.670641908146546895e-01
8.706146729463783152e-02 3.547257489492565141e-01
8.377290470870542294e-02 3.415565010641867794e-01
8.060856061136109640e-02 3.300103873938428078e-01
7.756374291221446171e-02 3.174580622320579137e-01
7.463393675465511412e-02 3.046274272161857977e-01
7.181479782122110467e-02 2.920362464997453000e-01
6.910214589184442147e-02 2.803852693748921099e-01
6.649195864541883327e-02 2.677344425619584967e-01
6.398036569550133446e-02 2.551348771039850805e-01
6.156364285130159347e-02 2.448965708102615879e-01
5.923820659545112055e-02 2.333168368524189129e-01
5.700060877036217111e-02 2.228587190649558014e-01
5.484753146529904727e-02 2.100121805625987936e-01
5.277578209657868974e-02 1.991569967764036941e-01
5.078228867360693594e-02 1.879163700706457940e-01
4.886409524372977570e-02 1.773690938566427899e-01
4.701835750914572926e-02 1.687650670820118048e-01
4.524233860938053214e-02 1.604601260129623896e-01
4.353340506306917906e-02 1.515883622715950008e-01
4.188902286302941674e-02 1.446125286781367869e-01
4.030675371883465918e-02 1.375837455814420962e-01
3.878425144131661395e-02 1.308028693721390023e-01
3.731925846363492311e-02 1.247267994572690969e-01
3.590960249375664548e-02 1.191092696435643028e-01
3.455319329338072537e-02 1.134613965183521034e-01
3.324801957853227435e-02 1.083411042672789010e-01
3.199214603722975309e-02 1.029936938144083020e-01
3.078371045980414153e-02 9.861714967904880447e-02
2.962092097761350948e-02 9.545147876646059570e-02
2.850205340605998366e-02 9.115595471051740617e-02
2.742544868796801399e-02 8.689049948232019371e-02
2.638951043353414405e-02 8.305155019980239861e-02
2.539270255319947892e-02 7.889240931057120432e-02
2.443354697993586205e-02 7.522162300210799568e-02
2.351062147756739773e-02 7.173817780011319811e-02
2.262255753187842819e-02 6.791953099679970407e-02
2.176803832138013081e-02 6.594207371273240470e-02
2.094579676472716964e-02 6.357848527957769835e-02
2.015461364188923452e-02 6.016235048744639907e-02
1.939331578629104047e-02 5.783246177083520290e-02
1.866077434524071599e-02 5.499705754761979870e-02
1.795590310606666462e-02 5.259329793977850220e-02
1.727765688548090622e-02 5.068851841273160075e-02
1.662502997978126257e-02 4.798561671523530331e-02
1.599705467359341382e-02 4.569335296922889811e-02
1.539279980494233022e-02 4.417133601364470197e-02
1.481136938452488373e-02 4.299219918318399752e-02
1.425190126713681872e-02 4.180256816323429936e-02
1.371356587328347552e-02 4.038337477511749762e-02
1.319556495907909383e-02 3.878611174241779896e-02
1.269713043261044665e-02 3.662644077836320344e-02
1.221752321501008015e-02 3.478731186718880125e-02
1.175603214454982309e-02 3.397840206995299955e-02
1.131197292213002685e-02 3.306635898815189767e-02
1.088468709660054407e-02 3.207529069559320045e-02
1.047354108840931053e-02 3.066288181646159919e-02
1.007792525013029988e-02 2.980075725248320165e-02
9.697252962478156157e-03 2.841454146410439877e-02
9.330959764468953199e-03 2.736218182267570118e-02
8.978502516437213490e-03 2.607626837893440089e-02
8.639358594668347310e-03 2.467506520513940149e-02
8.313025116451976462e-03 2.415529843373710045e-02
7.999018194407339286e-03 2.289639836563300140e-02
7.696872218974865586e-03 2.224400955493570017e-02
7.406139168010281854e-03 2.177338360022810018e-02
7.126387942457167515e-03 2.079899713548720094e-02
6.857203727113180512e-03 2.040236096019100095e-02
6.598187375541884198e-03 1.942210499758790024e-02
6.348954818218386677e-03 1.852724221714049935e-02
6.109136493030862917e-03 1.797911515818670022e-02
5.878376797293779869e-03 1.750742602579770033e-02
5.656333560460070214e-03 1.671446984369940117e-02
5.442677536750616975e-03 1.564976858123229980e-02
5.237091916948465216e-03 1.520811089851429980e-02
5.039271858634037683e-03 1.478243942938460044e-02
4.848924034164661667e-03 1.430835418559680064e-02
4.665766195728316378e-03 1.386565018022540077e-02
4.489526756826447626e-03 1.333127069247480069e-02
4.319944389565433772e-03 1.293574543525640060e-02
4.156767637159518303e-03 1.231123372240400075e-02
3.999754541070574092e-03 1.186968021632779993e-02
3.848672282231960489e-03 1.127725222938399940e-02
3.703296835824308221e-03 1.076025923968939972e-02
3.563412639091465255e-03 1.047121161749449934e-02
3.428812271703944332e-03 1.027286370474160028e-02
3.299296148196041115e-03 9.717433737578700520e-03
3.174672222020417153e-03 9.080082416811800089e-03
3.054755700781430858e-03 8.653010614757900010e-03
2.939368772224894635e-03 8.350018757843699971e-03
2.828340340578047903e-03 8.076215161520900257e-03
2.721505772848666072e-03 7.847225779386899844e-03
2.618706654707224357e-03 7.847225600903099188e-03
2.519790555590056651e-03 7.633400399866300048e-03
2.424610802675305782e-03 7.161885745250599726e-03
2.333026263396392134e-03 6.963837138237999672e-03
2.244901136170616117e-03 6.704240567603899845e-03
2.160104749032507824e-03 6.460133387838899732e-03
2.078511365873426074e-03 6.277801207957300206e-03
2.000000000000000042e-03 5.865041471129499653e-03
2.000000000000000096e-04 1.036701717094699925e-03
2.000000000000000164e-05 2.735783065474000015e-04
1.999999999999999909e-06 4.620212249481836156e-05
