# XXZ chain with true anisotropy being Delta + g
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.10
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g
# omega/g, R_1(omega)


8.312514989890631284e-03 3.088466833543290074e-02
7.998527336796706910e-03 2.981884680935400003e-02
7.696399902471165108e-03 2.869420550611680165e-02
7.405684692262441866e-03 2.791392284534180077e-02
7.125950633568409361e-03 2.708172632734820104e-02
6.856782936641737762e-03 2.614239034915210105e-02
6.597782479539546913e-03 2.545318188280940030e-02
6.348565216305223323e-03 2.443099444129550116e-02
6.108761607505040075e-03 2.363613935333610042e-02
5.878016072274911547e-03 2.225745809691000165e-02
5.655986461065013425e-03 2.118003902911700168e-02
5.442343548300272033e-03 2.037436142309529893e-02
5.236770544204655264e-03 1.983588738398180118e-02
5.038962625065149942e-03 1.922478443166139930e-02
4.848626481239078079e-03 1.855446131498660056e-02
4.665479882234476600e-03 1.793193847283299988e-02
4.489251258218606745e-03 1.700376098303549993e-02
4.319679297334173655e-03 1.649754615629080157e-02
4.156512558225988231e-03 1.570612122423640025e-02
3.999509097203669643e-03 1.532437392716930018e-02
3.848436109487432793e-03 1.468491868883669942e-02
3.703069584005140927e-03 1.389217431311940039e-02
3.563193971228583758e-03 1.346977471987250048e-02
3.428601863556590256e-03 1.284996562684839923e-02
3.299093687770942099e-03 1.244406337923440083e-02
3.174477409109193338e-03 1.221582379161710065e-02
3.054568246515431459e-03 1.169712972212899951e-02
2.939188398646889935e-03 1.131851861486109917e-02
2.828166780230035107e-03 1.088714504318900010e-02
2.721338768375308487e-03 1.060580745561709969e-02
2.618545958474232608e-03 9.896966227384999815e-03
2.519635929317018842e-03 9.635901216850199791e-03
2.424462017082330834e-03 9.106150503239200666e-03
2.332883097864158189e-03 8.671768565063799408e-03
2.244763378413223813e-03 8.458049518069100242e-03
2.159972194782716886e-03 8.320532135730099310e-03
2.078383818579759151e-03 8.080498176466999194e-03
1.999877270535287046e-03 7.764236433145599997e-03
1.924336141115980245e-03 7.236702338731700046e-03
1.851648417912154111e-03 7.022506313552900198e-03
1.781706319545732628e-03 6.868149390644199756e-03
1.714406135851972166e-03 6.780131328403600326e-03
1.649648074098020558e-03 6.430330283014099729e-03
1.587336111010208576e-03 6.104972995742100061e-03
1.527377850390715429e-03 5.983847504628500048e-03
1.469684386112447318e-03 5.845574427128800293e-03
1.414170170289023951e-03 5.487135661559799753e-03
1.360752886424333036e-03 5.389279104989999625e-03
1.309353327353612179e-03 5.146827642849899700e-03
1.259895277795028325e-03 4.668961087508700057e-03
1.212305401337652891e-03 4.394440318473099780e-03
1.166513131698196067e-03 4.201907183269099934e-03
1.122450568085308058e-03 4.022171998312299747e-03
1.080052374516253912e-03 3.747872340457000014e-03
1.039255682936713037e-03 3.572629681457599893e-03
1.000000000000000021e-03 3.265604257035900019e-03
1.000000000000000048e-04 4.606336116038000001e-04
1.000000000000000082e-05 3.027367410169016108e-05
9.999999999999999547e-07 3.817516533161983756e-20
