# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.20
# Normalized cumlative spectral function for the O1 operator
# omega, R_1(omega)

4.737893390963143769e-02 5.369976465078452055e-01
4.558929499981063949e-02 5.231810401957807111e-01
4.386725591048498685e-02 5.106052426444385173e-01
4.221026320156903017e-02 4.980673774585571145e-01
4.061585988376979761e-02 4.848909974673017986e-01
3.908168177536268384e-02 4.728550960025663108e-01
3.760545399658171695e-02 4.604365769992945778e-01
3.618498759642750640e-02 4.478778030788195808e-01
3.481817630688966575e-02 4.366992333571971252e-01
3.350299341977233669e-02 4.255418606703925133e-01
3.223748878149030467e-02 4.146873931505415944e-01
3.101978590138097097e-02 4.042312536013755730e-01
2.984807916924327523e-02 3.937895202125422101e-01
2.872063117797828483e-02 3.828327141482438245e-01
2.763577014736159909e-02 3.720738045917800774e-01
2.659188744512694033e-02 3.615942780441530058e-01
2.558743520168589233e-02 3.508737656255337956e-01
2.462092401494625840e-02 3.404994607318216904e-01
2.369092074182634414e-02 3.303519044480633937e-01
2.279604637318979887e-02 3.209358748696036767e-01
2.193497398905060181e-02 3.115376844830073932e-01
2.110642679101554578e-02 3.033377609679981934e-01
2.030917620904736792e-02 2.944551468982928855e-01
1.954204007974053373e-02 2.861532840485103146e-01
1.880388089340916460e-02 2.781818752109588844e-01
1.809360410738716438e-02 2.690276743104249024e-01
1.741015652304017322e-02 2.605329844852355969e-01
1.675252472408215315e-02 2.515086590565173141e-01
1.611973357388158529e-02 2.429042722207055971e-01
1.551084476952840734e-02 2.340537079479126092e-01
1.492495545051830512e-02 2.255137765018865870e-01
1.436119685999078660e-02 2.179418384158872124e-01
1.381873305653632047e-02 2.111103453295156973e-01
1.329675967466212479e-02 2.039698131914151058e-01
1.279450273207873370e-02 1.964306913269411037e-01
1.231121748203890809e-02 1.895527038218079996e-01
1.184618730902683471e-02 1.826642642987766907e-01
1.139872266616052607e-02 1.770804959011839097e-01
1.096816005273137939e-02 1.707509960998289111e-01
1.055386103036524102e-02 1.648433687688997118e-01
1.015521127634568151e-02 1.592146496369283015e-01
9.771619672696182229e-03 1.530960032167454909e-01
9.402517429670131932e-03 1.479017974030029936e-01
9.047357242349302747e-03 1.420864547492043106e-01
8.705612479099865408e-03 1.367428646304139073e-01
8.376776400682925047e-03 1.321224711600703094e-01
8.060361408861346083e-03 1.268046265874998024e-01
7.755898323389008933e-03 1.221917689740127932e-01
7.462935686310137595e-03 1.177116973745895995e-01
7.181039092537355555e-03 1.138634991272146069e-01
6.909790545715645271e-03 1.093456614269897043e-01
6.648787838417269391e-03 1.046839934268998934e-01
6.397643955748430651e-03 1.003213474173236947e-01
6.155986501483514013e-03 9.689544124530080627e-02
5.923457145875806254e-03 9.316492955879270010e-02
5.699711094326075263e-03 8.947315929886169583e-02
5.484416576121020452e-03 8.614079391246519390e-02
5.277254352483537470e-03 8.312111003810269960e-02
5.077917243205404101e-03 7.942066643278460070e-02
4.886109671160326559e-03 7.581421774339029696e-02
4.701547224022134541e-03 7.298999097338340625e-02
4.523956232538053034e-03 7.012837654887700556e-02
4.353073364731892096e-03 6.710526316450229900e-02
4.188645235435271494e-03 6.445047994212239895e-02
4.030428030568054994e-03 6.210067585876290208e-02
3.878187145610723519e-03 5.976323698580580240e-02
3.731696837732756053e-03 5.753666637606019707e-02
3.590739891061055147e-03 5.501152388293020085e-02
3.455107294592221507e-03 5.354717082293219965e-02
3.324597932270941750e-03 5.189926618716279860e-02
3.199018284775066896e-03 5.029969782059789951e-02
3.078182142565080021e-03 4.835102163697359984e-02
2.961910329772556374e-03 4.669500829121069757e-02
2.850030438518108469e-03 4.476370771741149807e-02
2.742376573264952364e-03 4.326805711292180251e-02
2.638789104828934487e-03 4.182358303825269713e-02
2.539114433680347144e-03 4.032598376765200027e-02
2.443204762186489305e-03 3.883872368967149907e-02
2.350917875457286636e-03 3.751704144726689810e-02
2.262116930469026694e-03 3.624111491097330162e-02
2.176670253153459040e-03 3.462454067638069677e-02
2.094451143151470924e-03 3.335997929894030101e-02
2.015337685941733393e-03 3.215457327360900230e-02
1.939212572065830958e-03 3.073177776193479829e-02
1.865962923181745982e-03 2.945314149060870162e-02
1.795480124687832231e-03 2.837168843640739888e-02
1.727659664669036485e-03 2.724415397042380046e-02
1.662400978926613674e-03 2.609136655061010043e-02
1.599607301861487915e-03 2.500415106991039915e-02
1.539185522990207120e-03 2.397837712294929868e-02
1.481046048880675517e-03 2.322726989971269848e-02
1.425102670302999227e-03 2.207369060690700033e-02
1.371272434398400917e-03 2.135604327284600090e-02
1.319475521676707333e-03 2.044344594856420047e-02
1.269635127659974033e-03 1.951599569218150088e-02
1.221677348996793059e-03 1.894466059738919919e-02
1.175531073878369843e-03 1.795818008288569897e-02
1.131127876593921366e-03 1.739933870696560095e-02
1.088401916069006584e-03 1.694996820842540122e-02
1.047289838236358439e-03 1.633206215581919918e-02
1.007730682094461726e-03 1.560383375253210012e-02
9.696657893145520669e-04 1.522566798434800070e-02
9.330387172620359729e-04 1.462372361884710023e-02
8.977951553033331877e-04 1.360388543525480054e-02
8.638828442740453762e-04 1.311656721635089985e-02
8.312514989890631501e-04 1.249468409208280041e-02
7.998527336796707127e-04 1.192040287786400032e-02
7.696399902471166409e-04 1.146536440720350054e-02
7.405684692262441650e-04 1.108179306986089956e-02
7.125950633568410445e-04 1.063698184133149947e-02
6.856782936641738196e-04 1.021543850677109934e-02
6.597782479539546479e-04 9.827396115943800095e-03
6.348565216305223540e-04 9.355280289995399762e-03
6.108761607505039425e-04 8.912386773102399379e-03
5.878016072274911547e-04 8.563260767944199173e-03
5.655986461065013642e-04 8.406497357113700344e-03
5.442343548300272249e-04 8.090360774909099995e-03
5.236770544204654831e-04 7.974544603031699305e-03
5.038962625065149942e-04 7.618493677215200204e-03
4.848626481239078079e-04 7.312746159999199830e-03
4.665479882234477250e-04 7.041478241428000308e-03
4.489251258218607721e-04 6.811975075109899698e-03
4.319679297334173764e-04 6.527931752409599740e-03
4.156512558225987906e-04 6.147033315281399610e-03
3.999509097203669534e-04 5.928037235159699589e-03
3.848436109487432576e-04 5.751663897730599669e-03
3.703069584005141035e-04 5.564815817693799689e-03
3.563193971228584300e-04 5.463594075001200132e-03
3.428601863556590473e-04 5.321511754304100207e-03
3.299093687770942316e-04 5.027931428881400253e-03
3.174477409109193664e-04 4.957555841234399623e-03
3.054568246515431892e-04 4.726317698303100084e-03
2.939188398646890260e-04 4.410653438603300003e-03
2.828166780230034890e-04 4.301499513870200159e-03
2.721338768375308921e-04 4.033456605441100400e-03
2.618545958474232716e-04 3.878096698602799888e-03
2.519635929317018516e-04 3.795693466935300044e-03
2.424462017082330725e-04 3.483485822580100096e-03
2.332883097864158189e-04 3.375796699769199969e-03
2.244763378413223921e-04 3.236373207084100156e-03
2.159972194782717103e-04 3.138456347767500099e-03
2.078383818579759422e-04 2.996588218501800103e-03
1.999877270535287046e-04 2.959620813828900149e-03
1.924336141115980190e-04 2.873521100391299848e-03
1.851648417912154056e-04 2.782326496084900052e-03
1.781706319545732628e-04 2.738172415836299944e-03
1.714406135851972166e-04 2.652993094171099929e-03
1.649648074098020503e-04 2.536482930951300049e-03
1.587336111010208468e-04 2.400531780362400152e-03
1.527377850390715483e-04 2.328240316690299936e-03
1.469684386112447426e-04 2.211709400256999924e-03
1.414170170289023951e-04 2.147877399993100133e-03
1.360752886424333198e-04 2.136284120467099850e-03
1.309353327353612287e-04 2.039648771324099885e-03
1.259895277795028434e-04 1.918698792145999985e-03
1.212305401337652864e-04 1.767407050248800049e-03
1.166513131698196175e-04 1.708136476277999968e-03
1.122450568085308140e-04 1.665300448790300045e-03
1.080052374516253993e-04 1.626381008217299981e-03
1.039255682936713091e-04 1.591312115813100104e-03
1.000000000000000048e-04 1.517240526078900056e-03
1.000000000000000082e-05 2.814427449640000134e-04
9.999999999999999547e-07 5.110760380433421282e-05
9.999999999999999547e-08 1.525878906249919362e-05
