# Heisenberg S=1/2 chain with anisotropy 
# L=28, J=1.0 , Delta=1.5, Delta_{2}  = 0.00, deltaJ = 0.00, deltah = 0.00, F = 0.30
# Time-dependent dynamical diffusion D_{F}(t)
# Time tJ, Dynamical diffusion D_{F}(t)

 36.680000  0.485963
 36.880000  0.483983
 37.080000  0.482274
 37.280000  0.481144
 37.480000  0.480468
 37.680000  0.479798
 37.880000  0.479081
 38.080000  0.478151
 38.280000  0.477111
 38.480000  0.476515
 38.680000  0.476509
 38.880000  0.477133
 39.080000  0.478229
 39.280000  0.479665
 39.480000  0.481076
 39.680000  0.482315
 39.880000  0.483612
 40.080000  0.484913
 40.280000  0.486395
 40.480000  0.487947
 40.680000  0.489569
 40.880000  0.490937
 41.080000  0.492134
 41.280000  0.493007
 41.480000  0.493547
 41.680000  0.494025
 41.880000  0.493975
 42.080000  0.493295
 42.280000  0.492280
 42.480000  0.491079
 42.680000  0.490378
 42.880000  0.489966
 43.080000  0.489690
 43.280000  0.489232
 43.480000  0.488204
 43.680000  0.486721
 43.880000  0.484773
 44.080000  0.483036
 44.280000  0.481415
 44.480000  0.480276
 44.680000  0.479400
 44.880000  0.478759
 45.080000  0.478395
 45.280000  0.478317
 45.480000  0.478426
 45.680000  0.478246
 45.880000  0.477249
 46.080000  0.474969
 46.280000  0.471481
 46.480000  0.468127
 46.680000  0.465546
 46.880000  0.464823
 47.080000  0.465749
 47.280000  0.467075
 47.480000  0.468271
 47.680000  0.468211
 47.880000  0.467630
 48.080000  0.466808
 48.280000  0.466916
 48.480000  0.467935
 48.680000  0.469993
 48.880000  0.471732
 49.080000  0.472357
 49.280000  0.471393
 49.480000  0.468770
 49.680000  0.465595
 49.880000  0.462358
 50.080000  0.460287
 50.280000  0.459178
 50.480000  0.459010
 50.680000  0.459651
 50.880000  0.461116
