# long range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  

31371.8 3.5931368149417104E-004
31296.4 3.5587796360332896E-004
31580.9 3.5244137911683287E-004
31260.1 3.4903443780989366E-004
31748.5 3.4570246361016825E-004
31525.4 3.4242139584291030E-004
31626.2 3.3912931456562634E-004
31917.6 3.3586271952206680E-004
32027.3 3.3263656815942514E-004
31996.1 3.2954257128080434E-004
32090 3.2642640371487733E-004
31960.3 3.2334886942845880E-004
32395.3 3.2031953197326975E-004
32514.8 3.1731615939173006E-004
32362.2 3.1432560510772164E-004
32745.3 3.1137338819258397E-004
32846.8 3.0849046510540522E-004
32658.6 3.0563539082357208E-004
32757.1 3.0280916910614718E-004
32889.9 3.0002804761870161E-004
33017.3 2.9722961369555903E-004
33368.9 2.9452431128925777E-004
33297.3 2.9181260588185295E-004
33325.5 2.8917717966070542E-004
33303.4 2.8650568108254257E-004
33431.4 2.8392153821518913E-004
33313.7 2.8133857133598336E-004
33427.2 2.7875802223320057E-004
33603.1 2.7627021899906607E-004
33775.4 2.7380419040366218E-004
33931.3 2.7133534143419140E-004
33873.7 2.6893615183396381E-004
33993.3 2.6654315505075506E-004
34000.5 2.6416814425095895E-004
34238.2 2.6181470955898852E-004
34260.9 2.5949686790658157E-004
34415.6 2.5719069429446819E-004
34630.5 2.5491463844093734E-004
34548.1 2.5267129757728681E-004
34600.1 2.5043537378919764E-004
34622.6 2.4824700579431002E-004
34667.6 2.4609299273262294E-004
35031.8 2.4393597929246965E-004
35080.8 2.4181703969174573E-004
35135.2 2.3970422346178332E-004
34958.6 2.3761650338885077E-004
34886.3 2.3553198137727543E-004
35468.4 2.3351635867220806E-004
35470.4 2.3149644312049414E-004
35420.5 2.2952141629475361E-004
35624.5 2.2755666827103412E-004
35794.3 2.2560479316564773E-004
35960.1 2.2367059885659992E-004
35988.4 2.2177974194227660E-004
36151.6 2.1989556246194722E-004
36053.2 2.1804884903946171E-004
36006.1 2.1618113292288800E-004
36085.6 2.1435618188305527E-004
36278.1 2.1256472254883963E-004
35881.4 2.1078177584696038E-004
36633.6 2.0901807070291669E-004
36423.4 2.0726562704850490E-004
36714.8 2.0555564698103679E-004
36623.7 2.0385320403479865E-004
36827.9 2.0216440276175283E-004
36805.4 2.0050238771337470E-004
36973 1.9884993265006676E-004
37018.3 1.9721127127780003E-004
37132.9 1.9559130314370426E-004
36936.5 1.9396533928237459E-004
37258.1 1.9236365845957208E-004
37320.4 1.9078917134389187E-004
37306.6 1.8923041481284442E-004
37694.6 1.8768532188433683E-004
37779.8 1.8616795831532699E-004
37642.5 1.8465876476564641E-004
37901.3 1.8316086234357770E-004
37578.9 1.8168698966887733E-004
38001.2 1.8022048612698684E-004
38090.9 1.7876473870468657E-004
37926.4 1.7731466662438330E-004
38195 1.7589241688594176E-004
38400.5 1.7448530800771958E-004
38170.4 1.7310100313464201E-004
38529 1.7171948886505521E-004
38529 1.7035204235036098E-004
38477.9 1.6900169103430511E-004
38682.1 1.6767047773357321E-004
38743.2 1.6633519218715184E-004
38690.9 1.6502644424147144E-004
38591.7 1.6371395518732692E-004
38918 1.6242478983328982E-004
39028.2 1.6112933002785157E-004
38991.9 1.5986667577277890E-004
39336 1.5860718180555667E-004
39180.5 1.5736255906354820E-004
39296.2 1.5613829721173919E-004
39444.6 1.5491585525805526E-004
39273.8 1.5370061110455405E-004
39591.1 1.5250607400884507E-004
39579.4 1.5131510783003728E-004
39734.2 1.5014879849527561E-004
39936.8 1.4898856462187542E-004
39705.7 1.4784180175878256E-004
39936.9 1.4669960286900832E-004
40178.6 1.4555796419137864E-004
39955.7 1.4444478550745344E-004
40427.4 1.4334154153006990E-004
40368.5 1.4224234305654359E-004
40433.6 1.4115692833507182E-004
40485.9 1.4006547050126903E-004
40403.6 1.3899547021840620E-004
40524 1.3793273801085133E-004
40690.4 1.3687778674202158E-004
40678.3 1.3582736338049213E-004
40928.5 1.3479356951162844E-004
40756.4 1.3376728128005420E-004
41103.1 1.3273663055031506E-004
40865.7 1.3172601350314620E-004
41205.1 1.3073366654236775E-004
41269.7 1.2974884826852604E-004
41556.3 1.2875599235247668E-004
41578.4 1.2778792350169078E-004
41544.2 1.2682919458103752E-004
41683.3 1.2587658018687649E-004
41671.2 1.2493088956242411E-004
41838.3 1.2399318104140296E-004
41873.2 1.2306759473821433E-004
41658.6 1.2213737810417769E-004
41843.6 1.2122589139909709E-004
42133.6 1.2031628537890884E-004
42246.8 1.1942794437090936E-004
42488.1 1.1854253747550389E-004
42265.5 1.1766303903824800E-004
42696.1 1.1679798078719446E-004
42351.8 1.1593417942635918E-004
42633.3 1.1506500900960736E-004
42449.2 1.1420482958024786E-004
42430 1.1335910594334779E-004
42728.2 1.1252776533760614E-004
42805.4 1.1170374108869597E-004
42812.9 1.1087820230027349E-004
42871.9 1.1006123385327660E-004
42860.2 1.0926156310859838E-004
43007.4 1.0846214240089906E-004
43552.7 1.0766955784346203E-004
43313.3 1.0688533034348418E-004
43552.7 1.0610808146438239E-004
43753.4 1.0532774318685054E-004
43962.1 1.0455890993869706E-004
43194.5 1.0379960329135763E-004
43851.3 1.0304083486998283E-004
44051.3 1.0228272945366667E-004
43949.4 1.0154114828749118E-004
44442.2 1.0080554253172077E-004
44176.3 1.0007145756944984E-004
44025.1 9.9351593492773174E-005
44211.9 9.8635690791145674E-005
44006.1 9.7924530556452985E-005
44354.7 9.7213328844493485E-005
44482.9 9.6516836476969608E-005
44526 9.5829551154828882E-005
44672.8 9.5134280287288646E-005
44655.3 9.4455042529808413E-005
44576.4 9.3772896336463761E-005
44654.2 9.3108991404777721E-005
44740 9.2452362639911361E-005
45008.6 9.1792821470644320E-005
45283.4 9.1132898524503791E-005
45256.2 9.0480171482638569E-005
45093.9 8.9832259278309898E-005
45129.1 8.9188962796028505E-005
45282.1 8.8557371535664985E-005
45452.6 8.7920880186799001E-005
45602.3 8.7296279407965771E-005
45529.1 8.6683802658950369E-005
45747.6 8.6065452209457241E-005
45576.1 8.5458977026456288E-005
45701.6 8.4857872091154477E-005
45888.9 8.4268574103121108E-005
45948.4 8.3677252945475551E-005
45747.5 8.3088368464295047E-005
46607.4 8.2499036250572867E-005
46304.8 8.1921775404282263E-005
46366.3 8.1343632425637179E-005
46478.1 8.0770482582799623E-005
46579.4 8.0196305352684574E-005
46484.6 7.9635141353796986E-005
46512.6 7.9073373585632841E-005
46709.7 7.8521739164659496E-005
46775.3 7.7974844593734139E-005
46622.1 7.7424018347219763E-005
46975.2 7.6879213390403946E-005
47066.3 7.6347070620453515E-005
47208.8 7.5812791795096975E-005
47330.7 7.5286056619442422E-005
47367.8 7.4763427355824992E-005
47285.6 7.4242552887798869E-005
47194.7 7.3725170508893561E-005
47443.8 7.3214413274898699E-005
47517.8 7.2717738868675500E-005
47694.1 7.2218882482497605E-005
47806.9 7.1727259685283571E-005
48043 7.1231829656170353E-005
47489.5 7.0738061730355934E-005
47692.3 7.0247604066672314E-005
47668.7 6.9756901872008987E-005
48116.3 6.9278084293968991E-005
48178.1 6.8802401262546529E-005
48185.4 6.8328014170391464E-005
48150.8 6.7856900402673220E-005
48515.6 6.7392419733023303E-005
48508.7 6.6931038128721968E-005
48344.2 6.6469756364463279E-005
48724.2 6.6014782236971400E-005
48299.5 6.5567492468843921E-005
48763.2 6.5118103602270177E-005
48440.7 6.4675762948542193E-005
49064 6.4234578177255715E-005
49062.3 6.3799761030820614E-005
48998.7 6.3365175372079205E-005
49466.6 6.2937477499136975E-005
49169.1 6.2503253656586235E-005
49082.7 6.2079684695357269E-005
49455.6 6.1664816962535597E-005
49691.8 6.1246031654097166E-005
49338.1 6.0830092865737634E-005
49357.1 6.0419182876873135E-005
49790.5 6.0013307731030839E-005
49575.1 5.9604414131801789E-005
49849.5 5.9200861932344707E-005
49681 5.8801691674395441E-005
50102.3 5.8404097464754737E-005
50049.6 5.8011007505925512E-005
50078.4 5.7617343269923372E-005
50175.4 5.7229857698178557E-005
50361.5 5.6847552127535213E-005
50300.6 5.6467516136899387E-005
50339.1 5.6095012155616029E-005
50193 5.5717816507489220E-005
50685.7 5.5346464739121069E-005
50585.1 5.4976346792232867E-005
50629.6 5.4613831720495543E-005
50552.4 5.4243331198595522E-005
51023.9 5.3881794082805419E-005
51043.2 5.3521521352624712E-005
50511.5 5.3164027775497940E-005
51226.5 5.2811748537782532E-005
51338 5.2460788229500905E-005
51182.9 5.2113657735546530E-005
51430.4 5.1765278483085648E-005
51168 5.1424927880347841E-005
51540.7 5.1082712338397866E-005
51477.7 5.0739696070882902E-005
51555.6 5.0404366920504838E-005
51638.6 5.0071682122603074E-005
51806.8 4.9736998911421149E-005
51685.9 4.9411993865576540E-005
51765.2 4.9085233016200873E-005
52224.6 4.8764099857474492E-005
52098.2 4.8438431643123946E-005
52133.8 4.8117795951124110E-005
52277.4 4.7796143616995772E-005
52498.1 4.7479878326986606E-005
52302.1 4.7168186687472887E-005
52357.8 4.6854946550452218E-005
52528.5 4.6545243252086045E-005
52806.2 4.6236141890863177E-005
52813.4 4.5933279452254091E-005
52445.1 4.5628815262883472E-005
52731.9 4.5328895920468019E-005
52836.6 4.5030611375700548E-005
53011.1 4.4736744540656334E-005
53065.6 4.4447301393861111E-005
53018.4 4.4154405568031291E-005
53025.7 4.3863814522650652E-005
53289.1 4.3576982607337237E-005
53654.5 4.3292449917488714E-005
53484.2 4.3006897878982523E-005
53556.6 4.2723335411283821E-005
52950 4.2446363805631345E-005
53555.4 4.2167909846054710E-005
53877.5 4.1891691730604880E-005
53867.8 4.1619010783364635E-005
53662.7 4.1345565841817688E-005
54140.9 4.1074041086828106E-005
54048.2 4.0805773201044681E-005
54041.6 4.0541430549926600E-005
54184.7 4.0276762268236940E-005
54620.9 4.0016272094226725E-005
54595.9 3.9755602940872144E-005
54244.8 3.9493837111872526E-005
54374.2 3.9235721176264810E-005
54591.7 3.8979967572801700E-005
54494 3.8723932963143910E-005
54714.6 3.8472248481825353E-005
55039 3.8220982514892107E-005
54841.3 3.7971892639114968E-005
54970.2 3.7727760490167930E-005
55071.9 3.7482017482685375E-005
55252.5 3.7242065836081758E-005
55319.8 3.6999304926476575E-005
55163.2 3.6759541946846915E-005
55264 3.6520180157754935E-005
55680.5 3.6283951035101445E-005
55580 3.6048469911270226E-005
55400.4 3.5811713237963102E-005
55500.3 3.5578241380996392E-005
55470.1 3.5348179646280112E-005
55873.6 3.5122368645359993E-005
55887.5 3.4894693582246346E-005
55806.5 3.4669826346209880E-005
55963.9 3.4444203951035609E-005
56349.1 3.4225003399433328E-005
56012.3 3.4004713472753508E-005
56003.4 3.3786912225103837E-005
56507.7 3.3565868237810852E-005
56206.5 3.3346901963020848E-005
56223.9 3.3132490652469392E-005
56483.7 3.2916710944403888E-005
56600.8 3.2706621559295185E-005
56871.6 3.2493899450506075E-005
56579.2 3.2285028740578771E-005
57211.5 3.2078148790200985E-005
57179.5 3.1871952284157590E-005
56651.3 3.1666661061789406E-005
57155.7 3.1462558459238399E-005
57316.2 3.1259680020094332E-005
56921.1 3.1059134338857674E-005
57561.9 3.0858417471085386E-005
57579.9 3.0656940379746497E-005
57808 3.0460310740560605E-005
57581.9 3.0265456998698225E-005
57519.1 3.0071038417869692E-005
57701.7 2.9880792574339829E-005
57793.5 2.9688701452313831E-005
58307.5 2.9496811962242227E-005
57996 2.9307012054952965E-005
57905.4 2.9119404211530932E-005
57845.7 2.8931385112417299E-005
58330.5 2.8744702164080041E-005
57950.5 2.8559571832410039E-005
58291.2 2.8376730201653982E-005
58064.7 2.8194641995169403E-005
58687.6 2.8015502184029660E-005
58371.5 2.7837979828338231E-005
58865.1 2.7660946620733347E-005
58590.1 2.7486431846614492E-005
58785.2 2.7309199706679415E-005
58948.8 2.7133437302843120E-005
58369.7 2.6957688425219350E-005
59047.1 2.6786247299940096E-005
58699.1 2.6614420965631209E-005
58890 2.6443188606808821E-005
58971.9 2.6274358589382762E-005
59179.3 2.6106718316039910E-005
59441.9 2.5939084571469311E-005
59530.4 2.5773647191035381E-005
59636.3 2.5611514392336126E-005
59662.4 2.5448969460265003E-005
59822.6 2.5287953747487220E-005
59759.7 2.5127483962491737E-005
59437 2.4968267848246172E-005
59507.1 2.4805780675612856E-005
59572.2 2.4648894598832484E-005
60104.4 2.4490732651170263E-005
59930.9 2.4334626704224876E-005
60158.9 2.4181015050117617E-005
60139.8 2.4027375446015771E-005
60384.1 2.3873880109899557E-005
60401.8 2.3725156386691060E-005
60369.7 2.3573675714434482E-005
60364.5 2.3424248823109630E-005
60503.5 2.3275918100129406E-005
61114.8 2.3126098610170209E-005
60615.1 2.2978362159192669E-005
60897.2 2.2832138507556032E-005
60930.6 2.2687266031092620E-005
60676 2.2543049009912462E-005
61195.5 2.2400881020435590E-005
60656.1 2.2259240877430413E-005
61045 2.2119209892127722E-005
61391.9 2.1978886288768543E-005
61330.5 2.1838842070515845E-005
61293.3 2.1699471855116256E-005
61677.6 2.1562079997713411E-005
61681.6 2.1425140401419636E-005
61636.9 2.1290536159102475E-005
61434.9 2.1155415817293890E-005
62065.6 2.1021655352517009E-005
61963.1 2.0889044751099469E-005
61769.1 2.0756374913378265E-005
61898.3 2.0625243189314755E-005
62434.6 2.0492938248614157E-005
62170.2 2.0363466000026176E-005
62238.1 2.0234657886282625E-005
62615.1 2.0103358063802523E-005
62400.8 1.9976714251062801E-005
62028.4 1.9851184651692212E-005
62475.6 1.9724901037971621E-005
63118.5 1.9599583814720295E-005
62817.2 1.9474348788697699E-005
62530.6 1.9349694098020190E-005
62574.4 1.9227454397712678E-005
62997 1.9105698067316134E-005
62838 1.8984881192719691E-005
63553.7 1.8865123540277898E-005
63050.2 1.8745629154716529E-005
63235.2 1.8626216051217238E-005
62724.5 1.8508693748285310E-005
63385.8 1.8390550536397772E-005
63564.8 1.8272492327151321E-005
63258.2 1.8156332284272584E-005
63378.7 1.8040416299208623E-005
63605.6 1.7926058997326089E-005
63705.7 1.7811617509450247E-005
63784.5 1.7699569592115354E-005
63836.9 1.7586009282843931E-005
64375.7 1.7473684644298967E-005
64056.6 1.7363372327784553E-005
64615.7 1.7253806902548039E-005
64149.2 1.7143534734763886E-005
64367.2 1.7035248312368140E-005
64549.5 1.6927698787215438E-005
64696.9 1.6819567040698158E-005
64595.9 1.6714085137176873E-005
64651.7 1.6607529784277563E-005
64748.3 1.6500371530204274E-005
64618.4 1.6395281284150104E-005
64616.3 1.6290754104927078E-005
64804.8 1.6186240703247712E-005
64937.3 1.6083303882737209E-005
65412.2 1.5981080156271064E-005
65307.4 1.5881143500298821E-005
65152.6 1.5781707384169907E-005
65484.4 1.5682066508174314E-005
65117.1 1.5583076893395574E-005
65133.9 1.5482992801547951E-005
65517.9 1.5383781676607416E-005
65381.9 1.5285232150658093E-005
65330 1.5186408499777328E-005
65767.9 1.5091104727411417E-005
65644.4 1.4995974464668267E-005
65996.7 1.4900509554850874E-005
66241.9 1.4804411805647104E-005
66544.1 1.4710220498338214E-005
66055.9 1.4615761418786930E-005
66187.6 1.4523325683726080E-005
66090.9 1.4430373922082399E-005
66624.1 1.4338012362746078E-005
66528.1 1.4246923158719961E-005
66557.5 1.4155568898146588E-005
66459.7 1.4064830689556405E-005
66715.5 1.3975603371242324E-005
66712.3 1.3887212338623329E-005
66888.7 1.3797879623767027E-005
67097.8 1.3709725148436524E-005
67141.5 1.3622743748039263E-005
67415.7 1.3535812708869915E-005
67068.4 1.3447901465656371E-005
67178.9 1.3362970494905458E-005
67309.2 1.3277443050681199E-005
67188.1 1.3191778569581875E-005
66709.5 1.3107135166466783E-005
67465.5 1.3023502401361656E-005
67437.3 1.2939564999806197E-005
67781.2 1.2856926317441848E-005
68102.8 1.2774578059087344E-005
67932.8 1.2693238190627231E-005
68199 1.2612369866937596E-005
68339.3 1.2532341870465007E-005
68379 1.2450370456688511E-005
67873.8 1.2370101749119176E-005
68282.5 1.2290555142395079E-005
68554.9 1.2211920844961703E-005
68549.4 1.2134016452945349E-005
68411.6 1.2056053898873730E-005
68694.5 1.1978788215877063E-005
68467.9 1.1901858744305837E-005
68507.7 1.1824786985204430E-005
68665.9 1.1749257873781748E-005
68596.7 1.1673127063736977E-005
68801.1 1.1597279758940307E-005
68585.9 1.1523281451404108E-005
69237.4 1.1448838959998154E-005
68942.9 1.1374678781858871E-005
69242.8 1.1301581586505647E-005
69279.2 1.1228959411810058E-005
69546.6 1.1156576464734847E-005
69123 1.1085006942225386E-005
68926.4 1.1012783941203661E-005
69836.3 1.0940940817530861E-005
69717.1 1.0870057577615477E-005
69598.2 1.0800113960849859E-005
69666.7 1.0730376995857088E-005
70146 1.0661671786916956E-005
70130.8 1.0593339885371514E-005
69818.2 1.0524710814812832E-005
70053.2 1.0456718466322815E-005
70274 1.0389844569086894E-005
70054 1.0322693727986345E-005
70660.5 1.0255338414362692E-005
70289.1 1.0189800421277197E-005
70714.4 1.0123030801928907E-005
70636.3 1.0057760749471641E-005
70879.4 9.9927767167035821E-006
70646.7 9.9282879899381989E-006
70997.2 9.8642414418224752E-006
70671.9 9.8004703781026989E-006
70966.9 9.7371427028652615E-006
71132.3 9.6732310463223284E-006
71312.5 9.6104584336206812E-006
70972.8 9.5476929383149824E-006
71306.3 9.4853728444312541E-006
71533.5 9.4235060137439975E-006
71615.8 9.3616710760309677E-006
71267.2 9.3011147387660579E-006
71606.4 9.2407543480356200E-006
71036.3 9.1806104809869379E-006
71920.2 9.1207007061602726E-006
71994.4 9.0607470604092206E-006
71926.8 9.0017600670548988E-006
71626.9 8.9434887079167918E-006
72106.5 8.8858557009654589E-006
71940.4 8.8280120240231676E-006
71861.8 8.7704286799163197E-006
72088 8.7132979405148730E-006
72807.7 8.6562904300985580E-006
72524.6 8.5989809961833168E-006
72879.7 8.5426017253644888E-006
72558.6 8.4876010180702664E-006
73271 8.4318326916146346E-006
72670.5 8.3771679233659502E-006
72563.8 8.3222264640374583E-006
73017.9 8.2674461853126610E-006
73032.2 8.2132995151347340E-006
72854.4 8.1587761105751791E-006
73690.5 8.1041180640455606E-006
73183.9 8.0507668480252137E-006
73424.6 7.9978238551081370E-006
73324 7.9457053299879675E-006
73552.9 7.8933032654989716E-006
73459.5 7.8413675167936143E-006
73857.3 7.7893156051377418E-006
73700.4 7.7377716888191440E-006
74027.4 7.6868066199807077E-006
73831.4 7.6362885405594394E-006
74480.8 7.5857243767527645E-006
74211.3 7.5351958730397665E-006
73827.6 7.4851003883180421E-006
74097.5 7.4354000862628442E-006
74663.4 7.3863844555889549E-006
73946.3 7.3372325855802622E-006
74048 7.2886466095893155E-006
74483.8 7.2406128205455596E-006
74852 7.1922832052953931E-006
75561.4 7.1442037461782487E-006
74823.2 7.0970660762144251E-006
75432.9 7.0501005122662782E-006
75088.9 7.0037304901758659E-006
75158.1 6.9571087901756219E-006
75698.7 6.9103335268259965E-006
74985.6 6.8639432389042873E-006
75727.1 6.8177990570660030E-006
75147.6 6.7721865454084612E-006
75682 6.7270266525499741E-006
76141.3 6.6820021285888986E-006
75625.4 6.6364821896801602E-006
75656.6 6.5921588719553258E-006
75858.1 6.5475446280169687E-006
75955.7 6.5037088522583167E-006
75260.9 6.4608997177321642E-006
76086.8 6.4168400140142037E-006
76153.3 6.3732852245504624E-006
76241.9 6.3308074708165955E-006
76276.8 6.2886159572248673E-006
76603.7 6.2464449600799917E-006
76392.6 6.2040876972789324E-006
76693 6.1618015092535850E-006
76881.7 6.1202246569479679E-006
76389.7 6.0784367223278485E-006
76898.4 6.0372990424732402E-006
76795.9 5.9970207880352772E-006
76927.5 5.9565220843983847E-006
76673 5.9164933380802989E-006
76975.7 5.8761644600631717E-006
77041.7 5.8365777716814644E-006
76924.5 5.7970651363344125E-006
77017.1 5.7572906535471085E-006
77318.7 5.7184246798081817E-006
77618 5.6794445441150245E-006
77029.8 5.6412545910225986E-006
77514.2 5.6024868942763803E-006
77750.4 5.5648238818293462E-006
78296.8 5.5269570212169756E-006
77644.7 5.4882975596490625E-006
77932.2 5.4507425537691430E-006
78080.4 5.4133552335015183E-006
77516.1 5.3761757755833747E-006
78257.8 5.3394878805078864E-006
77971.5 5.3028756659724944E-006
78260.7 5.2661810817607160E-006
77878.7 5.2304472295558646E-006
78607.8 5.1943350438408671E-006
78764.8 5.1584216588903231E-006
78385.9 5.1228104115097513E-006
78516.9 5.0872395298511613E-006
78837.4 5.0523199166481841E-006
78824.1 5.0175165352536163E-006
79409 4.9831004041670543E-006
78833.4 4.9482198556558441E-006
79218.8 4.9141752417197440E-006
79337.9 4.8799074607298925E-006
79642.8 4.8456291447650873E-006
79325.1 4.8120670914516746E-006
79709.6 4.7783883251276044E-006
80144.2 4.7451866485169126E-006
80040.2 4.7115323877585743E-006
80235.6 4.6783249117532071E-006
79769.6 4.6458384964003615E-006
79689.6 4.6133899769297548E-006
80120.2 4.5809471738753556E-006
80207.6 4.5491135085232060E-006
80317.7 4.5167664405164562E-006
80606.3 4.4846986514663161E-006
80514 4.4534462763577648E-006
79991.5 4.4221521626108095E-006
80573.7 4.3909801980145193E-006
80149.3 4.3600514956157285E-006
